,Phrase,Question,Lemma,Answer,D1,D2,D3,F_Answer,F_D1,F_D2,F_D3
0,The beauty of the landscape struck the travellers.,The beauty of the landscape ... the travellers.,strike,struck,strikes,striking,striked,past tense,3rd person singular present,present participle,past tense
1,Nobody knows the truth about this affair.,Nobody ... the truth about this affair.,know,knows,knowed,knowing,knows,3rd person singular present,past tense,present participle,3rd person singular present
2,"In a dictatorship, freedom of expression is limited.","In a dictatorship, freedom of expression ....",limit,is limited,limits,limited,limiting,past participle,3rd person singular present,past tense,present participle
3,He did not help you out of kindness.,He did not ... you out of kindness.,help,help,helps,help,helping,infinitive,3rd person singular present,infinitive,present participle
4,His wickedness had no limits.,His wickedness ... no limits.,have,had,have,haves,haved,past tense,infinitive,3rd person singular present,past participle
5,His elegance impressed the assembly.,His elegance ... the assembly.,impress,impressed,impresses,impress,impressed,past tense,3rd person singular present,infinitive,past participle
6,There is a big difference between the western and the asiatic culture.,There ... a big difference between the western and the asiatic culture.,be,is,bing,bes,bed,3rd person singular present,present participle,3rd person singular present,past participle
7,He has high ideals.,He ... high ideals.,have,has,haved,have,haved,3rd person singular present,past participle,infinitive,past tense
8,He was struck by the modernity of the underground.,He ... by the modernity of the underground.,strike,was struck,striked,strike,striked,past participle,past tense,infinitive,past participle
9,The quality of his work was acknowledged by the jury.,The quality of his work ... by the jury.,acknowledge,was acknowledged,acknowledge,acknowledges,acknowledged,past participle,infinitive,3rd person singular present,past participle
10,A significant amount of oil has spilt in the sea.,A significant amount of oil has ... in the sea.,spill,spilt,spilled,spilled,spilling,past participle,past participle,past tense,present participle
11,He has been impressed by the cleanliness of his flat.,He ... by the cleanliness of his flat.,impress,has been impressed,impressed,impress,impressing,past participle,past participle,infinitive,present participle
12,His mother makes very tasty pies.,His mother ... very tasty pies.,make,makes,make,makes,maked,3rd person singular present,infinitive,3rd person singular present,past tense
13,Everything he said was true.,Everything he ... was true.,say,said,saying,says,sayed,past tense,present participle,3rd person singular present,past participle
14,We did not go to the beach because the weather was bad.,We did not ... to the beach because the weather was bad.,go,go,going,go,gos,infinitive,present participle,infinitive,3rd person singular present
15,He gave the wrong answer.,He ... the wrong answer.,give,gave,giving,gives,give,past tense,present participle,3rd person singular present,infinitive
16,It is a fast car but it is hard to drive.,It is a fast car but it is hard to ....,drive,drive,drives,drive,drived,infinitive,3rd person singular present,infinitive,past participle
17,"The cat is too high, I cannot reach it.","The cat is too high, I cannot ... it.",reach,reach,reached,reached,reaching,infinitive,past tense,past participle,present participle
18,He always dresses in black.,He always ... in black.,dress,dresses,dressed,dresses,dress,3rd person singular present,past tense,3rd person singular present,infinitive
19,I do not have any white shirt left.,I do not ... any white shirt left.,have,have,haved,having,have,infinitive,past tense,present participle,infinitive
20,I do not have any white shirt left.,I do not have any white shirt ....,leave,left,leaved,leaved,leaving,past participle,past participle,past tense,present participle
21,He is wearing a blue shirt.,He is ... a blue shirt.,wear,wearing,wear,wearing,weared,present participle,infinitive,present participle,past tense
22,I have a green car.,I ... a green car.,have,have,haves,having,have,non-3rd person singular present,3rd person singular present,present participle,infinitive
